event_idx,fire_time_s,fire_to_muzzle_s,fire_to_impact_s,pitch_peak_signed_deg,pitch_peak_abs_deg,pitch_peak_time_s,pitch_recovery_s,pitch_target_range_deg,pitch_target_stable,yaw_peak_signed_deg,yaw_peak_abs_deg,yaw_peak_time_s,yaw_recovery_s,yaw_target_range_deg,yaw_target_stable,disturbance_vector_abs_deg,stable_target,valid_disturbance_shot
274,6193.816091392,0.03986124800030666,0.16144870400057698,0.15414720923768677,0.15414720923768677,0.03355289600040123,nan,5.775530910107088,0,-0.07975339555633454,0.07975339555633454,0.03518284800065885,0.22400076800022362,1.003271553629748,0,0.17355680977285895,0,0
275,6194.134509312001,0.0408391679993656,0.15516441599993414,0.10542903476338061,0.10542903476338061,0.04561740799999825,nan,5.658064007994071,0,-0.060623725654391336,0.060623725654391336,0.4872232959996836,nan,1.3853008952870844,0,0.12161627145804554,0,0
276,6194.457146624,0.0397964800004047,0.14282879999973375,-0.19356703824717236,0.19356703824717236,0.48513920000004873,nan,5.907810078171101,0,-0.08794447751859025,0.08794447751859025,0.4159367680003925,nan,1.9640499289159337,0,0.21260862969738578,0,0
277,6194.766865664001,0.040017151999563794,0.12827033599933202,0.24207456372927005,0.24207456372927005,0.43620019199988747,nan,5.795263572923341,0,-0.17658190653010308,0.17658190653010308,0.4250687999992806,nan,2.8499952618209647,0,0.2996352184215375,0,0
278,6195.068518912,0.04024524800024665,0.12048486399999092,0.35346983601339677,0.35346983601339677,0.48309580800014373,nan,5.044039854867506,0,-0.20587838697292682,0.20587838697292682,0.474272256000404,nan,4.348845407505841,0,0.4090560294066227,0,0
279,6660.793293568,0.040910848000748956,0.15955379200022435,-1.8430745846867875,1.8430745846867875,0.1894215680003981,0.3184936960005871,2.940737837047106,0,-1.1312543483700033,1.1312543483700033,0.06651417600005516,nan,6.690510357181136,0,2.1625587449649584,0,0
280,6669.99658624,0.04069427200010978,0.13908275199992204,-1.600752440520484,1.600752440520484,0.18572544000016933,0.29984460800005763,2.6524871104593064,0,1.0134254222627828,1.0134254222627828,0.4244354559996282,nan,8.109316770103671,0,1.8945816061391458,0,0
281,6715.508819968,0.04577791999963665,0.16130636799971398,-1.784194891675897,1.784194891675897,0.2022471680002127,0.29009766400031367,3.791773450313535,0,-1.7646099550952332,1.7646099550952332,0.06895308799994382,0.28838425600042683,7.0596605622130415,0,2.5094221855047762,0,0
282,6715.909075968,0.040747775999989244,0.19152691199997207,-2.495117731191688,2.495117731191688,0.19869388799997978,0.2987888640000165,3.276159751271928,0,-1.7966905244656246,1.7966905244656246,0.07056281600034708,0.34865024000009726,4.927840592825646,0,3.074688493687079,0,0
283,6740.3798832640005,0.04044339200027025,0.16861593599969638,-2.602690134637803,2.602690134637803,0.1932528639999873,0.31332275200020376,3.483473281995943,0,-1.5703799946680146,1.5703799946680146,0.08360499199989135,0.22416768000039156,5.016219539383005,0,3.039751513626477,0,0
284,6740.680365824001,0.04066355200029648,0.18429491200004122,-1.4901484590007295,1.4901484590007295,0.19291647999943962,nan,3.078427803919631,0,3.170404759569891,3.170404759569891,0.4327715839999655,nan,4.88277604254376,0,3.503142698972691,0,0
285,6759.603636224,0.040153599999939615,0.14235264000035386,-2.385948968911519,2.385948968911519,0.4943280640000012,nan,3.1014553569448946,0,1.0939438546861382,1.0939438546861382,0.17418111999995745,nan,6.963079999602851,0,2.6247791601305255,0,0
286,6759.90559104,0.03972684800010029,0.15995468800065282,-2.392171718426127,2.392171718426127,0.48257663999993383,nan,3.3231994147049804,0,-1.575826314069264,1.575826314069264,0.39260057600040454,nan,5.553258535329444,0,2.8645617644852646,0,0
287,6760.2239232,0.040160000000469154,0.1826398720004363,-2.229199134572477,2.229199134572477,0.18736486400030117,0.37529907200041634,3.05731862240917,0,-1.5732670827148105,1.5732670827148105,0.07426841600045009,0.314223616000163,4.629953853347569,0,2.728460755651921,0,0
288,6770.790717696001,0.04025344000001496,0.13738521599952946,-2.0844125174287633,2.0844125174287633,0.1632949759996336,0.3026196479995633,3.3969938016783665,0,1.0374652673117204,1.0374652673117204,0.2146201599998676,nan,7.947667327389983,0,2.3283276667367705,0,0
289,6771.540346112,0.04134195200003887,0.2029854720003641,-0.11941294635770294,0.11941294635770294,0.47356800000034127,nan,3.0543270060449395,0,0.21669058578358502,0.21669058578358502,0.46694809600012377,nan,3.9532986565412322,0,0.247415160661308,0,0
290,6771.841313280001,0.04094463999990694,0.2236702720001631,-0.09729532629162208,0.09729532629162208,0.3642357759999868,nan,2.8055210313065633,0,0.12590499689817136,0.12590499689817136,0.4944913919998726,nan,3.101148366682171,0,0.15911771982441725,0,0
291,6791.414356480001,0.039920127999721444,0.13817855999968742,-0.13963993707619693,0.13963993707619693,0.4811084799994205,nan,2.8575458915062555,0,-1.00034079239909,1.00034079239909,0.0015283200000340003,nan,7.389712852750495,0,1.0100401046316347,0,0
292,6791.735867648001,0.036533503999635286,0.16201907199956622,-0.11001899742617915,0.11001899742617915,0.2900945920000595,nan,2.664788635221697,0,-0.2213424962327064,0.2213424962327064,0.02918604799924651,0.45017727999947965,4.867487622689538,0,0.24717742703003295,0,0
293,6792.053003520001,0.04762879999998404,0.1815288319994579,0.17794583849149692,0.17794583849149692,0.39494783999998617,nan,3.0236081833847788,0,0.1933962940583669,0.1933962940583669,0.22523443199952453,nan,3.929170233381356,0,0.26280572290563275,0,0
294,6792.363387904001,0.0406451199996809,0.20133324800008268,0.09240714969207531,0.09240714969207531,0.08456345600006898,0.2929210879992752,3.3035835170346353,0,0.13632683665074552,0.13632683665074552,0.20391039999958593,nan,3.1952131319281207,0,0.16469392127644744,0,0
295,6792.664046592,0.040366848000303435,0.20902272000057565,0.11236278579650438,0.11236278579650438,0.3030763520000619,0.4535278080002172,3.334846329175341,0,-0.1242380924512787,0.1242380924512787,0.002101760000186914,0.09295897600077296,2.7026866865801544,0,0.16751268384180226,0,0
